title,description
Looking,"Three best friends living in San Francisco share the nuances and complexities of contemporary gay relationships as they explore a variety of options, both in love and in life. They are unified by their close bond, but their search for happiness and intimacy has taken them on separate paths. Patrick is a 29-year-old video game designer who is dating again after his ex's engagement; Agustin, 31, is apprehensive about choosing monogamy and domesticity instead of the excitement of city life; and longtime waiter Dom is at a crossroads, as middle age approaches and his romantic and professional goals remain unfulfilled. The trio's lives unfold against the backdrop of San Francisco's progressive, unpredictable, almost-anything-goes culture, and ""Looking"" makes full use of the city's unique character -- with filming taking place in more than 40 locations and in various neighborhoods throughout the Bay Area."
Anthony Bourdain: Parts Unknown,"Anthony Bourdain had no reservations about a move to CNN. Shortly after concluding an eight-season stint at the helm of his popular Travel Channel series, the equally popular Emmy-winning host came to the news network searching for ""Parts Unknown."" In the hourlong weekend series -- similar in premise to Travel's ""No Reservations"" -- Bourdain explores the world to, he says, ""eat and drink with people without fear and prejudice ... they open up to you in ways that somebody visiting who is driven by a story may not get."" Enticed by the opportunity to experience cultures rarely visited by American TV, such as in the Congo, Libya and Myanmar, the chef and best-selling author also takes viewers to Colombia, Peru, Morocco and, closer to home, Koreatown in Los Angeles."
All or Nothing: Arsenal,Arsenal follows the iconic football club in what would turn out to be an unforgettable season; capturing the highs and lows of life on and off the pitch.
Devious Maids,"In Beverly Hills, whoever ""has the dirt"" holds the power. In some of the city's wealthiest families, that power belongs to a close-knit group of maids who have ambition and dreams of their own. The maids are brought together by their jobs, life struggles and the upstairs-downstairs universe of their employers. Rosie, Carmen, Marisol and Zoila are the women who turn to one another for support when times get tough, including when fellow maid Flora is found murdered in her employers' home and when problems pop up in the maids' romances and personal lives."
Thanmathra,"A man leading a happy life with his loving wife and two children suddenly starts getting forgetful and lost. Then, he is diagnosed with Alzheimer's disease leaving his family devastated."
Tales of the Jedi,Six brand-new animated shorts featuring parables built around Jedi from the prequel era. Journey into the lives of two distinctly different Jedi—Ahsoka Tano and Count Dooku—each will be put to the test as they make choices that will define their destinies.
High-Rise Invasion,"As Yuri finds herself in a bizarre world of endless buildings and masked killers, she'll do whatever it takes to find her brother and escape."
Cinderella,"With a wicked stepmother (Eleanor Audley) and two jealous stepsisters (Rhoda Williams, Lucille Bliss) who keep her enslaved and in rags, Cinderella (Ilene Woods) stands no chance of attending the royal ball. When her fairy godmother (Verna Felton) appears and magically transforms her reality into a dream come true, Cinderella enchants the handsome Prince Charming at the ball, but must face the wrath of her enraged stepmother and sisters when the spell wears off at midnight."
One Day at a Time,"This comedy-drama is inspired by Norman Lear's 1975 series of the same name. This time around, the series follows the life of Penelope, a newly single Army veteran, and her Cuban-American family, as they navigate the ups and downs of life. Now a nurse, Penelope is raising two strong-willed children. When faced with challenges, Penelope turns to her ""old-school"" mother, and her building manager, who has become an invaluable confidant. The series offers a contemporary take on what life looks like in both good and bad times, and how loved ones can help make it all worthwhile."
"Where'd You Go, Bernadette","Former architect Bernadette Fox seems to have it all -- a beautiful home in Seattle, a successful and loving husband, and a brilliant teenage daughter who's about to attend boarding school. When Bernadette suddenly disappears without a trace, her concerned family sets off on an exciting adventure to solve the mystery of where she might have gone."
Star,"Star's life in the foster system didn't dull her dreams, but it did give her the strength to pursue them. Committed to following the path to fame in the cut-throat music industry, the singer tracks down her sister, Simone, and her best friend from Instagram, Alexandra, and the trio make their way to Atlanta. Once there, they find support in the form of mother-figure Carlotta and a down-and-out talent agent named Jahil who takes an interest in Star. As the young women chase down their dream, they find that ambition has a price and sometimes that price is too high."
The Rookie,"A true story about a coach who discovers that it's never too late for dreams to come true. Jim Morris (Dennis Quaid) never made it out of the minor leagues before a shoulder injury ended his pitching career twelve years ago. Now a married-with-children high-school chemistry teacher and baseball coach in Texas, Jim's team makes a deal with him: if they win the district championship, Jim will try out with a major-league organization."
Monica Z,Monica Zetterlund (Edda Magnason) becomes a singer and actress.
Appaloosa,"In this classic Western, buffalo hunter Matt Fletcher (Marlon Brando) plans on starting a horse breeding farm with his friend Paco (Rafael Campos) in the border town of Ojo Prieto. But when a Mexican bandit (John Saxon) steals his prized Appaloosa stallion, Matt crosses the border determined to get revenge. In search of his beloved horse, Matt falls in love with a beautiful woman (Anjanette Comer), battles a band of bandits and faces poisonous scorpions."
